Muslo,Rodilla,PosX,PosY,Largo_Extremidades(m)
1.26160,-1.92399,0.06751419996244656,0.21856328644512366,0.2
0.854494,-0.695809,0.18245187803262367,0.32880715525374654,0.2
1.14694,-1.40198,0.1318437139151225,0.27578671661322346,0.2
1.48985,-2.36445,0.04588898908622415,0.14443281700564192,0.2
1.41999,-2.60064,0.012759081613552704,0.10611226888884427,0.2
1.39307,-0.145533,0.3864908845007748,0.09888932690966311,0.2
1.10823,-1.94745,0.030157999669350802,0.2228583597499203,0.2
1.12950,-1.51172,0.10624238432767176,0.2709899885922085,0.2
1.05515,-1.02406,0.18021230303379351,0.29852290413033417,0.2
1.38361,-2.26820,0.04177568946625723,0.163940997483979,0.2
1.19071,-1.00582,0.2224921853748005,0.2707926435639414,0.2
0.204175,-0.0829945,0.06472857955347455,0.3943790633201361,0.2
1.18229,-2.32681,0.0029930666069636997,0.1584574387641029,0.2
0.958687,-1.51955,0.05730361241421271,0.2842779230795898,0.2
1.27825,-1.58713,0.13070415530342241,0.24821371866638114,0.2
1.05230,-1.00542,0.18308698101796303,0.2988943852260307,0.2
1.33689,-2.50950,0.010200701424430744,0.12390564070978403,0.2
1.40443,-1.25694,0.22662821334570288,0.23094969265329918,0.2
1.53879,-2.58378,0.026913155215282657,0.10678229761690204,0.2
0.985607,-1.09608,0.1446712508481941,0.3092521134927975,0.2
1.11817,-1.05552,0.19238331500832145,0.2870728589502012,0.2
1.13277,-0.703628,0.26433500744174043,0.2666964282662294,0.2
1.41605,-1.41138,0.19854432251344978,0.2308243533461986,0.2
1.51658,-2.95026,0.0015830149844165363,0.03817464404117257,0.2
0.976004,-1.42605,0.07865165291001923,0.29215279191131116,0.2
1.20720,-1.21146,0.18607264570934937,0.2711261944950348,0.2
1.23756,-0.909384,0.2534621753813991,0.2547459485654052,0.2
0.852865,-1.68883,0.002244276765161729,0.265657426017569,0.2
1.24594,-2.01001,0.05116614816440906,0.20824025201914037,0.2
1.15981,-1.56363,0.10475863602924268,0.26381613640273827,0.2
1.29201,-2.57800,0.00033505519328120686,0.11123122706990883,0.2
1.36857,-2.47257,0.01732120682568272,0.13017536462995052,0.2
0.599091,-1.17529,0.0038111013416122805,0.3328780658714358,0.2
0.604068,-0.139305,0.20324108612143413,0.3433920138700683,0.2
1.41404,-2.57302,0.014268427449032367,0.11127725139212066,0.2
1.16869,-0.801295,0.25588559482599804,0.26492399564199387,0.2
1.38812,-0.566535,0.34311770510234857,0.1725441743877126,0.2
1.27847,-1.97342,0.06344642880848883,0.2112534827487004,0.2
1.52354,-1.84663,0.136277160523029,0.19909942698669428,0.2
0.771933,-1.06981,0.08080634918397922,0.3345052504797038,0.2
1.46943,-2.05689,0.08812195051108528,0.18670865555437974,0.2
0.747875,-1.42033,0.011434101196193291,0.3030854918086576,0.2
1.44336,-0.772214,0.3227544786894274,0.1820411141036406,0.2
1.38300,-2.39521,0.026882394206518046,0.1433368080535611,0.2
0.914034,-1.24617,0.09318203592966134,0.3111807251258296,0.2
1.43875,-0.578178,0.3499016476497019,0.15673416717266406,0.2
1.53486,-1.51073,0.20469639432150694,0.20712807997050287,0.2
0.772876,-0.492465,0.19498961122981992,0.3353694333337882,0.2
1.51655,-2.89249,0.0034906733091333566,0.04956920175407163,0.2
1.39710,-2.61130,0.009572786403945256,0.10438296467311566,0.2
1.46075,-0.563365,0.3551294012655419,0.14669747953982415,0.2
0.778503,-0.942353,0.10781939766027228,0.3397144109275335,0.2
1.14730,-1.38941,0.13438034113893885,0.2763572724588453,0.2
1.40469,-1.20319,0.23727454193568726,0.2290221741613906,0.2
1.20349,-0.871804,0.25178711462886644,0.26091954554110275,0.2
1.24265,-1.94276,0.06046812170062104,0.21741150047940813,0.2
1.47281,-2.48365,0.02958578425660579,0.12579606195289425,0.2
1.49033,-2.59695,0.02051467988659577,0.10561242982968506,0.2
1.25390,-1.56071,0.12963652601469622,0.2529845685440173,0.2
1.56426,-1.69764,0.17339889033029698,0.1995313686473442,0.2
1.46617,-2.05109,0.08847993439743855,0.18763820748384133,0.2
0.973348,-1.39546,0.08341784402928809,0.29495230631511027,0.2
0.904035,-0.220468,0.2834783829231422,0.27875371071545957,0.2
1.32832,-2.32962,0.02571423248078168,0.15586300244825935,0.2
1.07628,-0.732660,0.24341997216974617,0.28322881282920787,0.2
1.56346,-0.624422,0.36139239424227004,0.11958103490797187,0.2
1.30341,-1.95116,0.0722133617564765,0.21233085421364692,0.2
1.08043,-0.962820,0.19990107618022612,0.292807341369415,0.2
1.16756,-0.969377,0.22333735639232835,0.2745641528507341,0.2
0.988853,-1.25021,0.11540127132881028,0.3031378997140299,0.2
1.11191,-1.75894,0.0587444088298807,0.24816535755570726,0.2
1.03054,-0.981510,0.18131881841014955,0.30262998982728717,0.2
1.45220,-2.75528,0.005719275789140569,0.07656944933913919,0.2
0.697600,-0.740796,0.11983942097869982,0.3530906990616321,0.2
1.32731,-0.738375,0.3051957449677052,0.21452423007527832,0.2
1.08274,-1.36669,0.12061972085094375,0.2857724372336503,0.2
1.01562,-1.38801,0.09719363807999634,0.29171092401860355,0.2
1.56013,-1.67533,0.1769998562159174,0.20080748275444177,0.2
1.18703,-0.857185,0.2502309757426143,0.2641021166585984,0.2
0.717136,-1.31813,0.018352662436953854,0.31569270362152946,0.2
1.51884,-1.33860,0.235581833514465,0.20714744818113853,0.2
0.892921,-1.24159,0.0874515218723266,0.3133934079514249,0.2
0.932614,-1.20987,0.10589299050439738,0.31150945667102886,0.2
1.04470,-0.452989,0.2845113639547083,0.2664295690237629,0.2
1.00983,-0.805507,0.20993023023187699,0.3022398675925156,0.2
1.15562,-2.27856,0.0027344801740669627,0.16727789581344607,0.2
1.34006,-1.10195,0.2418732421754426,0.2400960671385386,0.2
1.37243,-1.98450,0.08116651216470654,0.2031059925743358,0.2
1.12079,-1.88686,0.04142591539568428,0.23112222345959163,0.2
1.47828,-2.18910,0.06865305866578446,0.17004233651440676,0.2
0.767353,-1.33576,0.031187990829528663,0.3125017654765443,0.2
0.874927,-1.06959,0.1148121388677425,0.3244331808894787,0.2
1.32608,-1.98459,0.07165459628963074,0.2066373403466632,0.2
1.50150,-1.46543,0.2067309922053004,0.21371883406454448,0.2
0.496919,-0.166954,0.1601458983062713,0.3650218241965278,0.2
0.806203,-0.787296,0.14811381092422662,0.3384130321786042,0.2
0.842996,-0.747332,0.16843133131775817,0.3321313965440485,0.2
1.11185,-0.0687713,0.35209505319545836,0.18931446963391171,0.2
0.953352,-1.67342,0.0311847418554389,0.266142642377208,0.2
0.789283,-1.31118,0.04226501417901254,0.31424621576150996,0.2
1.34083,-1.29179,0.2045389421665596,0.24534844164744687,0.2
1.22081,-1.84669,0.07071224642277628,0.23066643015022348,0.2
1.38869,-1.13542,0.24680728482850217,0.22984024760238836,0.2
1.04450,-1.00761,0.1803122252531554,0.30033034010850057,0.2
0.221071,-0.196225,0.048823914957026364,0.39507087789143797,0.2
1.02071,-1.75204,0.03692362712975945,0.25340951892717306,0.2
1.46406,-2.79764,0.004462658460895126,0.06830541306885249,0.2
1.47363,-1.03899,0.28327405146592927,0.20080626262810072,0.2
0.825089,-1.04305,0.10367372768659378,0.33096632084083233,0.2
1.31611,-2.54018,0.005451040175919233,0.11835325554677724,0.2
1.06004,-1.71953,0.05193126060949047,0.25582785564237803,0.2
1.35902,-1.98551,0.07827070723047294,0.20405690435271961,0.2
1.55673,-1.20580,0.2687335378206368,0.19062421923360565,0.2
1.39646,-2.03415,0.07790089879360952,0.1953853632537554,0.2
1.55095,-0.882083,0.3239806440910389,0.16087292031216985,0.2
1.17897,-0.873646,0.2449640000268409,0.2671244235828254,0.2
0.958651,-1.07538,0.14039019590854573,0.31356392420402396,0.2
1.16355,-1.04092,0.20810707267235554,0.2777147825453174,0.2
0.524201,-0.515192,0.10190597578237437,0.3731367180088669,0.2
0.882551,-0.607505,0.20879054734144642,0.31951913386780006,0.2
1.24812,-2.33531,0.012612589937455489,0.15641634639473165,0.2
1.42251,-2.55880,0.01638935409094247,0.11374195695778112,0.2
1.07831,-1.47111,0.09967829912038531,0.2793315965630794,0.2
1.53178,-2.86126,0.005642996685448977,0.0555966812306867,0.2
1.00199,-1.01159,0.1665874962299162,0.30771672432325664,0.2
0.673439,-0.936274,0.07277181569454255,0.34946776764347504,0.2
0.888397,-0.997518,0.1334316551851316,0.3249417515364416,0.2
1.41273,-1.88916,0.10578619223854643,0.2092094926021974,0.2
0.693862,-1.12888,0.04361652523911819,0.3351287115247596,0.2
1.20412,-1.09877,0.2077360784074615,0.2705937677879502,0.2
0.978640,-1.28675,0.10529641135979874,0.30221201069319753,0.2
1.00483,-1.43682,0.08507863951261321,0.28887291309438795,0.2
1.03342,-1.94175,0.014115499915047841,0.22538989594110934,0.2
1.42725,-2.29857,0.044907355003822015,0.15737487021374508,0.2
1.11498,-1.88417,0.040470567310232984,0.23173367608955603,0.2
0.881488,-1.62569,0.018860113553653236,0.27432644545238516,0.2
1.49796,-2.31998,0.052964814323586754,0.15070328843553074,0.2
1.46692,-2.58418,0.01914115322556704,0.10836708339526907,0.2
0.965422,-1.76468,0.021089805348498497,0.2532613951832589,0.2
1.42377,-2.52470,0.019516400367606972,0.11985311594204123,0.2
1.45690,-2.65134,0.012701972513730193,0.09623713607016189,0.2
1.36895,-2.65994,0.003717730884765835,0.09532892598837095,0.2
1.43038,-2.13945,0.06780714481032339,0.17978505153914953,0.2
1.13839,-1.35760,0.13809954622807277,0.27902528370934376,0.2
0.969904,-1.04132,0.15069438795284087,0.31256585642694606,0.2
1.56725,-1.95897,0.12364214494154833,0.18556012066159663,0.2
1.43853,-2.85871,0.0005170732593909992,0.05638489550788822,0.2
1.11623,-1.08369,0.18619693347063823,0.28770851060113145,0.2
1.43088,-2.11216,0.07208931962890341,0.18324577689897162,0.2
0.720354,-0.195641,0.23212314450885305,0.32340796108209413,0.2
1.27907,-2.24659,0.026854086759114673,0.17098961284840564,0.2
1.47697,-2.53685,0.02466191839967245,0.11653387187904012,0.2
1.36065,-2.49736,0.014149005832164621,0.12583693801621676,0.2
1.51531,-2.49077,0.03409979905024598,0.12324859626492907,0.2
1.34956,-1.92110,0.08694094110022133,0.212100969298459,0.2
1.43130,-2.34561,0.03962904513669295,0.1498753682187047,0.2
1.26693,-1.87915,0.0759007343761827,0.22351745421671618,0.2
0.694741,-1.32066,0.010869108062750871,0.31572905644999477,0.2
0.923941,-1.50146,0.05040812511504692,0.2881004632016961,0.2
1.26685,-0.515456,0.3273647932978099,0.20600417964514617,0.2
1.42316,-1.85484,0.11414410763000454,0.21107246796218326,0.2
1.01730,-1.06849,0.15990410724766577,0.3048713354060103,0.2
1.38332,-2.73544,0.0012583030280132249,0.0806633216381213,0.2
1.42634,-2.07121,0.0776964944762397,0.18862637790222286,0.2
1.29543,-0.399187,0.3486631492147385,0.1792880068164872,0.2
1.52877,-2.51653,0.032863502452166696,0.11851432142624056,0.2
1.14364,-2.24193,0.0039432204781915375,0.17388159752426688,0.2
0.906999,-1.75687,0.007292202551964028,0.25523788131849884,0.2
1.20182,-0.375494,0.33362940346563985,0.20764762827755395,0.2
1.24857,-0.563007,0.3163280383974141,0.2181487608040433,0.2
1.08219,-1.30984,0.13146112654359288,0.2887188146287445,0.2
1.53413,-1.58956,0.18878347825076533,0.20702512588409133,0.2
0.799055,-1.54885,0.0070414211141165564,0.2858423431031629,0.2
1.36718,-2.00552,0.07669532295217632,0.20106032347573746,0.2
1.10042,-1.51737,0.09728595101244068,0.27350961930603607,0.2
1.20205,-1.81978,0.0707181815659505,0.23512790997136798,0.2
1.28363,-1.61105,0.1274891037087174,0.24602247784184614,0.2
1.29891,-2.24456,0.030477169294048322,0.170753448754186,0.2
0.520647,-0.696021,0.06459294907954964,0.370431801171325,0.2
1.42347,-2.29962,0.04417805867307626,0.157381497708828,0.2
1.47002,-1.72843,0.14787745497513047,0.21348016362972771,0.2
