Muslo,Rodilla
0.822764,-0.192708
0.791975,-0.134690
0.723313,-0.00115692
0.723313,-0.00115692
0.811194,-0.186885
0.844732,-0.264013
0.869154,-0.322997
0.888817,-0.372553
0.905411,-0.416059
0.919802,-0.455249
0.932505,-0.491154
0.943855,-0.524445
0.954086,-0.555589
0.963368,-0.584927
0.971827,-0.612714
0.979565,-0.639150
0.986659,-0.664394
0.993174,-0.688573
0.999163,-0.711794
1.00467,-0.734145
1.00973,-0.755700
1.01437,-0.776524
1.01863,-0.796670
1.02253,-0.816187
1.02608,-0.835116
1.02930,-0.853493
1.03222,-0.871352
1.03485,-0.888722
1.03719,-0.905627
1.03926,-0.922091
1.04107,-0.938135
1.04264,-0.953779
1.04396,-0.969038
1.04504,-0.983928
1.04590,-0.998465
1.04654,-1.01266
1.04696,-1.02653
1.04717,-1.04007
1.04718,-1.05331
1.04698,-1.06625
1.04659,-1.07891
1.04601,-1.09127
1.04525,-1.10337
1.04429,-1.11519
1.04316,-1.12675
1.04185,-1.13806
1.04036,-1.14912
1.03870,-1.15993
1.03687,-1.17050
1.03488,-1.18083
1.03271,-1.19093
1.03039,-1.20081
1.02790,-1.21045
1.02526,-1.21988
1.02245,-1.22909
1.01950,-1.23809
1.01638,-1.24687
1.01312,-1.25544
1.00971,-1.26380
1.00614,-1.27196
1.00243,-1.27992
0.998579,-1.28767
0.994580,-1.29523
0.990438,-1.30259
0.986154,-1.30975
0.981730,-1.31672
0.977168,-1.32349
0.972468,-1.33007
0.967633,-1.33646
0.962662,-1.34267
0.957559,-1.34868
0.952323,-1.35451
0.946956,-1.36015
0.941460,-1.36560
0.935835,-1.37087
0.930083,-1.37596
0.924206,-1.38086
0.918204,-1.38558
0.912078,-1.39012
0.905831,-1.39448
0.899463,-1.39866
0.892976,-1.40265
0.886371,-1.40647
0.879649,-1.41010
0.872811,-1.41356
0.865860,-1.41683
0.858795,-1.41993
0.851619,-1.42285
0.844333,-1.42560
0.836938,-1.42816
0.829436,-1.43055
0.821827,-1.43276
0.814114,-1.43479
0.806297,-1.43664
0.798379,-1.43832
0.790359,-1.43982
0.782241,-1.44114
0.774024,-1.44229
0.765711,-1.44326
0.757303,-1.44406
0.748802,-1.44467
0.740208,-1.44512
0.731522,-1.44538
