Muslo,Rodilla
2.03442,-0.394885
1.19703,-0.808594
1.83859,-0.470710
1.14082,-0.183323
1.92572,-0.748565
1.12228,-0.699975
0.713917,-0.826191
2.29492,-0.674696
1.45063,-0.746009
0.958944,-0.794743
1.32926,-0.571607
1.57377,-0.463192
2.43152,-0.802390
0.707144,-0.830334
1.79823,-0.777780
1.68987,-0.419639
2.07899,-0.587426
0.845023,-0.154537
1.35450,-0.376333
1.53853,-0.608144
0.497982,-0.698620
0.931491,-0.414051
1.65495,-0.922227
1.84449,-0.138240
1.20830,-0.467446
0.605108,-0.432964
1.50455,-0.747023
2.20006,-0.901338
2.13600,-0.706599
2.28782,-0.305296
1.65489,-0.651279
2.41452,-0.574085
1.04228,-0.809854
0.809752,-0.859379
0.375584,-0.125611
0.844520,-0.343126
1.51593,-0.916061
1.71504,-0.889383
2.14792,-0.185653
1.15017,-0.984567
2.53451,-0.974584
1.16554,-0.952795
1.17747,-0.662088
1.84875,-0.794665
1.62164,-0.821798
2.50841,-0.983080
1.82063,-0.897963
2.12002,-0.643952
0.795485,-0.494938
2.02101,-0.887214
0.399175,-0.642252
1.86666,-0.290099
1.54450,-0.927301
1.82920,-0.660551
1.77265,-0.427154
2.64821,-0.990279
0.949725,-0.357808
2.45901,-0.832352
1.47977,-0.297741
1.67490,-0.514317
2.10346,-0.353203
0.664454,-0.682446
1.42696,-0.0231859
0.946668,-0.776866
2.43076,-0.854967
0.433427,-0.848158
1.83662,-0.895685
1.42350,-0.211157
0.609967,-0.554753
1.96060,-0.502924
0.527578,-0.300969
1.51509,-0.720154
2.13669,-0.659388
0.229939,-0.0784908
2.31267,-0.986757
0.576506,-0.335753
2.02856,-0.456961
2.28249,-0.586952
2.40545,-0.661252
1.56601,-0.814786
1.37642,-0.992541
2.16646,-0.931418
0.419284,-0.838246
2.47591,-0.602845
2.34075,-0.550006
2.23512,-0.780676
0.413746,-0.746369
0.919303,-0.750605
1.48088,-0.810071
1.06712,-0.692146
0.581492,-0.305147
2.39694,-0.951565
0.665833,-0.678523
0.587134,-0.985589
2.11734,-0.209322
2.15252,-0.645866
0.682961,-0.475991
0.462522,-0.331853
1.33639,-0.777978
1.38529,-0.589151
1.52907,-0.760615
0.562135,-0.923025
0.529546,-0.937169
1.61708,-0.808105
0.530705,-0.466170
0.805086,-0.999976
2.20215,-0.963135
0.539551,-0.731746
2.23193,-0.771963
1.50154,-0.739164
2.12553,-0.149536
0.887917,-0.663672
1.89006,-0.0816962
1.77153,-0.488167
1.96186,-0.811272
0.525985,-0.927013
0.716749,-0.606344
1.04367,-0.261359
0.994714,-0.703609
0.567511,-0.575172
2.26186,-0.444703
2.24956,-0.703149
2.28466,-0.230754
0.842203,-0.249733
0.801637,-0.240824
0.908767,-0.758046
1.66409,-0.0870598
0.582658,-0.842188
0.459438,-0.192846
1.85697,-0.207616
1.53110,-0.330835
0.867513,-0.436040
2.36930,-0.922099
2.29184,-0.871088
1.90903,-0.902123
1.74188,-0.971357
2.26738,-0.635613
1.73889,-0.566547
1.85313,-0.787560
1.71181,-0.905203
1.19135,-0.795982
1.30721,-0.454802
0.720945,-0.986186
0.819400,-0.623543
1.63139,-0.446819
0.749843,-0.387624
1.69727,-0.953191
0.593291,-0.153242
1.34136,-0.450698
2.11129,-0.464005
1.05068,-0.950621
1.94849,-0.895388
2.50068,-0.862471
1.26441,-0.906648
2.15793,-0.972472
2.14523,-0.996484
1.81883,-0.838057
1.48273,-0.593168
0.0856538,-0.112426
2.05637,-0.794334
0.479429,-0.717609
0.449391,-0.835746
2.30601,-0.555562
1.85060,-0.771569
1.23662,-0.725519
1.20089,-0.970730
1.37004,-0.870275
0.813668,-0.259942
2.43035,-0.816552
1.59674,-0.916446
2.22481,-0.937774
1.52964,-0.960123
2.04376,-0.408361
2.19586,-0.567006
1.36527,-0.532223
0.304009,-0.0638182
0.381862,-0.678965
1.25566,-0.915652
1.21454,-0.743808
1.36692,-0.914149
1.05792,-0.777131
2.27791,-0.923179
1.02193,-0.862834
1.51244,-0.588342
1.95249,-0.770435
1.70576,-0.529808
2.36056,-0.696442
1.86621,-0.600163
1.66551,-0.372076
0.683687,-0.398277
1.60789,-0.571589
0.807481,-0.273761
1.88873,-0.960429
1.52302,-0.693455
1.68259,-0.864897
0.969249,-0.870035
0.650496,-0.827644
1.47183,-0.715192
1.22966,-0.652945
0.317961,-0.328523
0.915249,-0.691152
0.450362,-0.668661
1.57732,-0.934426
1.44759,-0.654470
0.750621,-0.733909
0.647041,-0.929177
1.13686,-0.735228
2.20898,-0.482861
0.482434,-0.518057
1.69826,-0.386774
1.62091,-0.633681
2.21062,-0.487992
1.78778,-0.943491
1.96221,-0.840207
1.56732,-0.827507
2.20670,-0.600479
1.71521,-0.350589
1.52496,-0.222271
0.623499,-0.316257
1.64954,-0.984149
0.544587,-0.949150
1.90475,-0.376812
2.31366,-0.623910
1.40314,-0.505747
1.65336,-0.702154
1.55404,-0.691907
1.48523,-0.748982
0.599897,-0.311153
2.28483,-0.929046
1.32473,-0.781843
0.634305,-0.934779
1.11237,-0.797554
0.987302,-0.398524
0.664720,-0.783124
0.519871,-0.706145
2.24826,-0.419517
1.10778,-0.651343
1.27634,-0.987232
1.64152,-0.493981
0.831640,-0.478273
1.89856,-0.780807
2.37570,-0.654263
1.85251,-0.940685
1.02003,-0.679296
1.05074,-0.860471
1.22351,-0.889175
1.21332,-0.478114
0.678599,-0.998368
1.08073,-0.199640
0.762051,-0.807731
1.70953,-0.483360
1.85034,-0.694610
0.275341,-0.422578
0.606822,-0.554008
0.688800,-0.862322
0.953976,-0.649262
2.46278,-0.734357
0.524576,-0.589810
1.11939,-0.815590
2.22096,-0.738074
0.474033,-0.560538
2.07088,-0.917596
1.84631,-0.958592
1.76880,-0.679890
0.990339,-0.683536
1.95410,-0.599549
0.613128,-0.763511
1.79177,-0.193955
0.884069,-0.556751
1.13616,-0.644973
1.41270,-0.545031
1.64387,-0.427761
1.90773,-0.509319
0.896792,-0.760926
0.404813,-0.566827
0.758655,-0.828594
0.471017,-0.837250
0.920613,-0.358205
1.05801,-0.231492
0.572566,-0.196687
1.89936,-0.474347
1.26096,-0.523262
1.80166,-0.316857
1.96903,-0.480125
0.514275,-0.513732
2.40360,-0.773428
1.60609,-0.995767
2.36634,-0.661239
2.23068,-0.988748
0.367213,-0.368329
2.62627,-0.865291
1.54684,-0.246454
1.69221,-0.630502
1.17934,-0.933179
2.15619,-0.771409
2.27031,-0.924580
2.45420,-0.937525
1.68941,-0.341331
2.00861,-0.462147
2.06896,-0.877105
0.597960,-0.852504
1.97187,-0.810891
0.604236,-0.909701
2.32844,-0.265124
1.49463,-0.874142
0.836591,-0.945715
0.550445,-0.769011
1.51268,-0.173077
1.39649,-0.801751
2.13968,-0.376173
0.509086,-0.767704
0.968050,-0.761935
2.43186,-0.797459
1.37504,-0.780588
0.830626,-0.989429
0.600142,-0.256930
0.448040,-0.724090
2.25844,-0.541515
1.92996,-0.269786
0.917470,-0.769053
2.10710,-0.801370
2.47559,-0.930778
1.58584,-0.846044
2.47137,-0.872064
1.44031,-0.164460
0.729027,-0.922841
0.250894,-0.269073
0.845004,-0.506678
1.14242,-0.897924
0.696342,-0.328447
1.85666,-0.548307
1.64982,-0.402373
0.705281,-0.565135
0.665375,-0.352495
2.09402,-0.820622
0.151284,-0.236188
2.43144,-0.566818
1.95494,-0.913325
1.18474,-0.427919
1.80351,-0.612008
2.13244,-0.413413
1.64045,-0.629133
1.98939,-0.854190
2.21578,-0.190998
1.60484,-0.754379
1.30326,-0.510337
2.15813,-0.271521
1.33754,-0.910837
1.59647,-0.718444
1.95983,-0.619189
1.55677,-0.730924
0.842423,-0.623924
1.01065,-0.915017
1.35870,-0.597456
2.39287,-0.778049
1.08849,-0.433100
1.42425,-0.601790
0.986402,-0.605646
1.11613,-0.973062
1.08087,-0.993399
0.373320,-0.555930
0.891941,-0.779549
1.49349,-0.892140
1.62462,-0.715581
2.03423,-0.912151
0.764978,-0.938290
2.50332,-0.970211
1.54589,-0.870075
1.02966,-0.997437
1.62066,-0.790441
0.370160,-0.650084
0.605470,-0.461430
1.74271,-0.577475
2.01245,-0.972901
